random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time,expected_recorded_onset_diff
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,20,21,amused,1,high ,high,90,92,112.6681,22.6637,90.0044,92.0044,350.6649,328.0012,0.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,21,22,delighted,1,high ,high,94,96,116.6691,22.6637,94.0054,96.0054,350.6649,328.0012,0.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,22,23,gloomy,3,low,low,98,100,120.6682,22.6637,98.0045,100.0045,350.6649,328.0012,0.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,23,24,miserable,3,low,low,102,104,124.6683,22.6637,102.0046,104.0046,350.6649,328.0012,0.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,24,10,sleepy,4,low,high,116,118,138.6686,22.6637,116.0049,118.0049,350.6649,328.0012,0.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,25,8,afraid,2,high,low,120,122,142.6687,22.6637,120.005,122.005,350.6649,328.0012,0.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,26,13,angry,2,high,low,124,126,146.6679,22.6637,124.0042,126.0042,350.6649,328.0012,0.0042
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,27,16,excited,1,high ,high,128,130,150.6687,22.6637,128.005,130.005,350.6649,328.0012,0.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,28,22,delighted,1,high ,high,132,134,154.6689,22.6637,132.0052,134.0052,350.6649,328.0012,0.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,29,17,bored,3,low,low,136,138,158.6688,22.6637,136.0051,138.0051,350.6649,328.0012,0.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,30,11,frustrated,2,high,low,140,142,162.6688,22.6637,140.0051,142.0051,350.6649,328.0012,0.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,31,15,tired,3,low,low,144,146,166.6687,22.6637,144.005,146.005,350.6649,328.0012,0.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,32,20,serene,4,low,high,148,150,170.6691,22.6637,148.0054,150.0054,350.6649,328.0012,0.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,33,4,distressed,2,high,low,152,154,174.668,22.6637,152.0043,154.0043,350.6649,328.0012,0.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,34,19,glad,1,high ,high,156,158,178.668,22.6637,156.0043,158.0043,350.6649,328.0012,0.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,35,23,gloomy,3,low,low,160,162,182.6685,22.6637,160.0048,162.0048,350.6649,328.0012,0.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,36,5,annoyed,2,high,low,164,166,186.6686,22.6637,164.0049,166.0049,350.6649,328.0012,0.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,37,6,satisfied,4,low,high,168,170,190.6696,22.6637,168.0059,170.0059,350.6649,328.0012,0.0059
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,38,24,miserable,3,low,low,172,174,194.6683,22.6637,172.0046,174.0046,350.6649,328.0012,0.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,39,21,amused,1,high ,high,176,178,198.6685,22.6637,176.0048,178.0048,350.6649,328.0012,0.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,40,3,pleased,4,low,high,180,182,202.6687,22.6637,180.005,182.005,350.6649,328.0012,0.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,41,1,depressed,3,low,low,184,186,206.6693,22.6637,184.0056,186.0056,350.6649,328.0012,0.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,42,14,droopy,3,low,low,188,190,210.6687,22.6637,188.005,190.005,350.6649,328.0012,0.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,43,12,content,4,low,high,192,194,214.6687,22.6637,192.005,194.005,350.6649,328.0012,0.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,44,7,astonished,1,high ,high,196,198,218.6689,22.6637,196.0052,198.0052,350.6649,328.0012,0.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,45,9,calm,4,low,high,200,202,222.6697,22.6637,200.006,202.006,350.6649,328.0012,0.006
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,46,18,aroused,1,high ,high,204,206,226.6683,22.6637,204.0046,206.0046,350.6649,328.0012,0.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,47,2,alarmed,2,high,low,208,210,230.6695,22.6637,208.0058,210.0058,350.6649,328.0012,0.0058
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,48,8,afraid,2,high,low,222,224,244.67,22.6637,222.0063,224.0063,350.6649,328.0012,0.0063
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,49,24,miserable,3,low,low,226,228,248.6693,22.6637,226.0056,228.0056,350.6649,328.0012,0.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,50,17,bored,3,low,low,230,232,252.6687,22.6637,230.005,232.005,350.6649,328.0012,0.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,51,14,droopy,3,low,low,234,236,256.6682,22.6637,234.0045,236.0045,350.6649,328.0012,0.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,52,19,glad,1,high ,high,238,240,260.6693,22.6637,238.0056,240.0056,350.6649,328.0012,0.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,53,10,sleepy,4,low,high,242,244,264.6685,22.6637,242.0048,244.0048,350.6649,328.0012,0.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,54,20,serene,4,low,high,246,248,268.6686,22.6637,246.0049,248.0049,350.6649,328.0012,0.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,55,6,satisfied,4,low,high,250,252,272.6699,22.6637,250.0062,252.0062,350.6649,328.0012,0.0062
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,56,5,annoyed,2,high,low,254,256,276.6691,22.6637,254.0054,256.0054,350.6649,328.0012,0.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,57,18,aroused,1,high ,high,258,260,280.6683,22.6637,258.0046,260.0046,350.6649,328.0012,0.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,58,16,excited,1,high ,high,262,264,284.6693,22.6637,262.0056,264.0056,350.6649,328.0012,0.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,59,15,tired,3,low,low,266,268,288.6686,22.6637,266.0049,268.0049,350.6649,328.0012,0.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,60,2,alarmed,2,high,low,270,272,292.6688,22.6637,270.0051,272.0051,350.6649,328.0012,0.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,61,9,calm,4,low,high,274,276,296.6693,22.6637,274.0056,276.0056,350.6649,328.0012,0.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,62,12,content,4,low,high,278,280,300.6702,22.6637,278.0065,280.0065,350.6649,328.0012,0.0065
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,63,3,pleased,4,low,high,282,284,304.6686,22.6637,282.0049,284.0049,350.6649,328.0012,0.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,64,13,angry,2,high,low,286,288,308.669,22.6637,286.0053,288.0053,350.6649,328.0012,0.0053
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,65,1,depressed,3,low,low,290,292,312.6692,22.6637,290.0055,292.0055,350.6649,328.0012,0.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,66,22,delighted,1,high ,high,294,296,316.6682,22.6637,294.0045,296.0045,350.6649,328.0012,0.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,67,21,amused,1,high ,high,298,300,320.6674,22.6637,298.0037,300.0037,350.6649,328.0012,0.0037
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,68,7,astonished,1,high ,high,302,304,324.6688,22.6637,302.0051,304.0051,350.6649,328.0012,0.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,69,23,gloomy,3,low,low,306,308,328.6689,22.6637,306.0052,308.0052,350.6649,328.0012,0.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,70,4,distressed,2,high,low,310,312,332.6701,22.6637,310.0064,312.0064,350.6649,328.0012,0.0064
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,71,11,frustrated,2,high,low,314,316,336.6697,22.6637,314.006,316.006,350.6649,328.0012,0.006
